action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-9.29,-8.82
0.40,-9.29,-11.23
0.80,-9.29,-15.05
1.20,-9.29,-19.72
1.60,-9.29,-22.54
2.00,-9.29,-23.53
