action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-452.02,-460.41
0.40,-452.02,-469.91
0.80,-452.02,-511.18
1.20,-452.02,-562.35
1.60,-452.02,-599.21
2.00,-452.02,-623.76
