delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,67.95,-23.00,2.27,15.27,53.17,-18.08,1.77,17.92,48.86,-16.43,1.63,17.73,75.04,-25.27,2.50,15.43,51.23,-17.35,1.71,15.72,53.33,-18.13,1.78,15.80,60.94,-20.43,2.03,15.83,53.17,-17.35,-21.74,24.58
2,45.11,-15.27,1.50,16.52,36.75,-12.48,1.23,18.10,39.15,-13.27,1.30,17.42,41.51,-14.15,1.38,17.19,36.94,-12.50,1.23,16.56,37.54,-12.76,1.25,16.22,38.14,-12.88,1.27,16.86,36.94,-12.48,-18.12,18.26
3,27.34,-9.45,0.91,17.83,32.33,-11.05,1.08,17.92,36.60,-12.48,1.22,16.70,30.07,-10.29,1.00,17.09,30.19,-10.32,1.01,16.77,30.98,-10.58,1.03,17.32,27.56,-9.40,0.92,17.94,32.33,-10.32,18.24,-9.13
5,20.44,-7.36,0.68,18.12,25.05,-8.70,0.83,18.50,27.98,-9.97,0.93,17.86,22.39,-7.88,0.75,17.76,25.76,-9.27,0.86,17.27,22.80,-8.19,0.76,17.68,23.70,-8.58,0.79,17.48,25.76,-8.70,26.06,-18.22
8,17.32,-8.84,0.58,18.73,22.09,-9.01,0.74,18.73,24.45,-10.47,0.81,18.35,18.34,-8.14,0.61,18.50,22.20,-10.10,0.74,17.41,20.21,-9.96,0.67,17.99,19.76,-8.80,0.66,18.12,22.20,-9.01,28.14,-1.94
