delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,53.36,-23.50,1.78,16.52,42.79,-18.04,1.43,18.02,41.02,-18.12,1.37,18.25,59.40,-24.96,1.98,16.24,53.21,-22.78,1.77,15.65,54.52,-23.12,1.82,15.74,48.04,-21.34,1.60,16.19,53.21,-18.04,-0.28,23.23
2,42.15,-20.23,1.41,16.96,40.20,-16.92,1.34,17.75,35.70,-16.24,1.19,18.27,45.11,-20.15,1.50,16.52,39.23,-17.48,1.31,16.79,42.98,-20.05,1.43,16.66,36.98,-17.21,1.23,16.44,40.20,-16.92,-4.63,16.36
3,32.55,-16.70,1.08,17.38,30.75,-14.32,1.02,18.36,29.81,-15.38,0.99,18.42,33.52,-16.81,1.12,17.63,32.21,-15.79,1.07,17.29,36.15,-18.42,1.21,16.89,26.89,-14.46,0.90,17.83,32.21,-14.32,-1.04,14.27
5,25.50,-16.54,0.85,18.19,25.16,-14.30,0.84,18.67,24.56,-16.50,0.82,19.12,29.02,-16.33,0.97,17.59,25.20,-16.48,0.84,18.20,26.51,-17.61,0.88,18.04,25.27,-16.74,0.84,17.87,25.20,-14.30,-1.18,13.57
8,19.73,-23.16,0.66,19.24,18.07,-17.15,0.60,19.90,20.18,-21.83,0.67,19.19,19.31,-18.17,0.64,19.04,17.89,-22.71,0.60,19.05,19.61,-22.71,0.65,18.91,17.21,-23.66,0.57,19.38,18.07,-17.15,-8.37,25.96
