delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,49.24,-19.92,1.64,16.55,31.46,-14.03,1.05,18.85,27.94,-12.76,0.93,18.99,61.27,-22.94,2.04,15.99,26.18,-12.11,0.87,18.04,28.01,-12.61,0.93,18.43,39.00,-15.95,1.30,16.96,31.46,-12.11,-36.10,39.22
2,39.49,-16.66,1.32,17.25,25.46,-12.94,0.85,19.03,22.09,-11.65,0.74,19.67,39.94,-16.62,1.33,17.19,20.10,-11.31,0.67,18.62,24.00,-11.76,0.80,18.44,31.16,-14.03,1.04,17.26,25.46,-11.31,-35.52,32.10
3,31.16,-15.40,1.04,17.68,23.48,-12.40,0.78,19.47,23.21,-12.98,0.77,19.43,31.20,-14.32,1.04,17.93,19.12,-11.72,0.64,18.93,22.69,-12.88,0.76,18.49,27.11,-13.97,0.90,17.68,23.48,-11.72,-24.67,23.91
5,24.23,-16.65,0.81,18.19,20.59,-13.93,0.69,19.45,19.12,-15.16,0.64,19.64,25.16,-14.75,0.84,17.76,17.18,-15.92,0.57,19.06,19.01,-15.98,0.63,18.88,18.07,-16.05,0.60,19.30,20.59,-13.93,-15.02,16.35
8,16.61,-24.14,0.55,19.40,16.05,-19.20,0.54,20.07,15.97,-25.18,0.53,19.99,21.52,-20.58,0.72,18.78,14.66,-26.63,0.49,19.41,16.20,-26.81,0.54,19.45,13.84,-24.58,0.46,19.89,16.05,-19.20,-3.39,20.48
