delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,57.23,-21.06,1.91,16.22,25.01,-10.42,0.83,19.45,23.85,-9.13,0.80,19.29,62.44,-23.19,2.08,16.18,17.29,-10.06,0.58,19.36,28.84,-10.79,0.96,18.25,42.34,-20.01,1.41,17.35,25.01,-10.06,-56.29,52.22
2,40.76,-15.73,1.36,16.82,21.41,-9.27,0.71,19.49,22.20,-9.20,0.74,19.19,35.85,-14.39,1.20,17.58,14.78,-10.95,0.49,19.38,21.52,-8.67,0.72,18.56,31.35,-17.73,1.04,17.70,21.41,-9.27,-47.47,41.07
3,28.88,-12.71,0.96,17.74,18.75,-9.27,0.62,19.79,22.24,-10.32,0.74,19.26,26.62,-12.13,0.89,18.59,12.90,-13.10,0.43,19.89,19.54,-8.77,0.65,19.00,23.66,-17.61,0.79,18.42,18.75,-9.27,-35.06,27.06
5,19.43,-13.21,0.65,18.72,16.35,-11.59,0.55,19.90,19.61,-12.87,0.65,19.65,22.61,-13.85,0.75,18.44,12.19,-17.43,0.41,19.65,14.21,-10.99,0.47,19.50,18.79,-20.85,0.63,18.93,16.35,-11.59,-15.83,12.26
8,16.88,-21.41,0.56,19.64,13.09,-16.35,0.44,20.58,15.68,-20.93,0.52,19.80,16.80,-16.96,0.56,19.44,11.40,-33.21,0.38,20.18,14.44,-19.72,0.48,19.86,11.89,-32.84,0.40,20.26,13.09,-16.35,-22.44,23.65
