attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.70,-11.01,-13.72,-3974.48,-11.01,-26.48
0.50,-13.25,-11.33,-13.65,-3287503194.31,-11.33,14.46
1.00,-18.47,-12.16,-13.80,-65608761.16,-12.16,34.17
1.50,-21.55,-12.80,-13.94,-683835.68,-12.80,40.59
2.00,-24.92,-13.00,-14.09,-330915086.65,-13.00,47.82
2.50,-26.30,-13.24,-13.98,-4264303.71,-13.24,49.66
3.00,-26.46,-13.18,-14.49,-46392881960.78,-13.18,50.19
