attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.55,-10.61,-12.61,-22853.70,-10.61,-24.17
0.50,-13.04,-11.73,-13.33,-511584094.29,-11.73,10.06
1.00,-18.33,-12.36,-13.56,-378243.09,-12.36,32.59
1.50,-22.19,-12.55,-13.43,-17970631.33,-12.55,43.44
2.00,-24.73,-12.98,-14.18,-12451368.75,-12.98,47.52
2.50,-27.18,-12.91,-13.63,-1105307985.09,-12.91,52.51
3.00,-27.04,-13.38,-14.47,-332818492.40,-13.38,50.54
