attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-34.42,-55.56,-67.26,-107.74,-55.56,-61.45
0.50,-57.92,-56.28,-64.39,-109.00,-56.28,2.82
1.00,-95.23,-57.88,-62.21,-110.94,-57.88,39.22
1.50,-118.24,-55.35,-62.09,-106.73,-55.35,53.19
2.00,-151.82,-58.78,-63.11,-111.34,-58.78,61.28
2.50,-161.86,-59.02,-65.20,-115.33,-59.02,63.54
3.00,-178.56,-62.52,-64.88,-113.80,-62.52,64.99
