attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,4.32,2.18,5.26,-24.64,5.26,21.85
0.50,1.06,0.24,2.95,-166.34,2.95,179.23
1.00,-5.74,-1.38,0.11,-525.61,0.11,101.98
1.50,-10.99,-3.17,-2.11,-862.84,-2.11,80.84
2.00,-16.55,-3.97,-4.38,-1140.81,-3.97,76.03
2.50,-19.37,-4.82,-5.83,-1305.24,-4.82,75.10
3.00,-22.23,-5.58,-6.06,-1453.15,-5.58,74.89
