attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-434.52,-455.16,-429.94,-735.64,-429.94,1.05
0.50,-481.57,-487.75,-504.22,-1467.22,-487.75,-1.28
1.00,-554.69,-535.63,-592.96,-2660.14,-535.63,3.44
1.50,-602.54,-562.33,-645.50,-3671.50,-562.33,6.67
2.00,-626.41,-582.13,-687.54,-4182.38,-582.13,7.07
2.50,-650.62,-592.59,-714.23,-4622.28,-592.59,8.92
3.00,-673.28,-601.24,-721.84,-5014.53,-601.24,10.70
