attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-400.11,-429.72,-394.56,-735.27,-394.56,1.39
0.50,-467.51,-485.47,-493.65,-1738.50,-485.47,-3.84
1.00,-548.76,-530.55,-591.13,-3018.57,-530.55,3.32
1.50,-595.37,-564.67,-648.66,-4151.09,-564.67,5.16
2.00,-636.12,-583.39,-688.80,-4741.51,-583.39,8.29
2.50,-652.25,-603.05,-716.23,-5110.31,-603.05,7.54
3.00,-667.93,-606.75,-744.32,-5536.75,-606.75,9.16
