attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-9.00,-10.57,-13.44,-178030005.98,-10.57,-17.43
0.50,-13.46,-11.60,-13.36,-6846451121.42,-11.60,13.82
1.00,-18.90,-12.09,-13.99,-385688.40,-12.09,36.03
1.50,-22.61,-12.93,-14.13,-483696074.46,-12.93,42.82
2.00,-24.80,-13.30,-14.27,-221132401.32,-13.30,46.36
2.50,-26.19,-13.02,-14.05,-1447721644.47,-13.02,50.28
3.00,-27.24,-13.59,-13.92,-15015652953.69,-13.59,50.12
