attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.89,-10.78,-13.40,-194871277550.98,-10.78,-21.30
0.50,-12.52,-11.51,-13.52,-240837698.82,-11.51,8.02
1.00,-18.54,-12.58,-13.73,-183500041.75,-12.58,32.13
1.50,-22.42,-12.73,-13.70,-4671039445.17,-12.73,43.24
2.00,-25.32,-12.70,-13.89,-1018536391.63,-12.70,49.85
2.50,-26.48,-13.10,-14.03,-943520522.76,-13.10,50.53
3.00,-27.89,-12.86,-14.34,-172214053.91,-12.86,53.87
