attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-58.36,-58.27,-62.59,-109.05,-58.27,0.15
0.50,-69.36,-59.04,-65.44,-108.59,-59.04,14.87
1.00,-93.48,-60.48,-65.54,-106.21,-60.48,35.30
1.50,-117.81,-60.11,-66.07,-101.02,-60.11,48.98
2.00,-132.71,-62.01,-65.12,-102.85,-62.01,53.27
2.50,-149.17,-60.77,-63.87,-104.58,-60.77,59.26
3.00,-158.65,-64.08,-63.61,-117.62,-63.61,59.90
