attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,3.90,1.47,4.12,1.46,4.12,5.66
0.50,1.47,-0.13,1.93,-138.78,1.93,31.47
1.00,-4.88,-3.07,-0.77,-522.34,-0.77,84.23
1.50,-10.81,-3.64,-3.26,-751.30,-3.26,69.89
2.00,-13.61,-5.05,-4.36,-1033.66,-4.36,67.97
2.50,-17.58,-6.44,-5.68,-1315.30,-5.68,67.70
3.00,-20.24,-5.80,-6.63,-1388.30,-5.80,71.34
