attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-28.54,-60.18,-65.78,-108.10,-60.18,-110.87
0.50,-54.38,-61.04,-63.37,-99.74,-61.04,-12.24
1.00,-99.69,-57.86,-65.48,-105.30,-57.86,41.96
1.50,-120.44,-60.02,-64.74,-121.96,-60.02,50.16
2.00,-140.10,-64.38,-67.01,-105.98,-64.38,54.05
2.50,-163.37,-62.45,-64.08,-110.61,-62.45,61.78
3.00,-171.14,-60.20,-64.37,-112.90,-60.20,64.83
