attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-411.46,-436.20,-411.97,-744.80,-411.97,-0.13
0.50,-474.24,-479.65,-494.80,-1752.47,-479.65,-1.14
1.00,-545.26,-529.37,-592.95,-3316.36,-529.37,2.91
1.50,-599.69,-561.11,-649.93,-3983.69,-561.11,6.43
2.00,-631.61,-577.48,-682.99,-4962.16,-577.48,8.57
2.50,-658.44,-594.20,-704.66,-5242.48,-594.20,9.76
3.00,-675.77,-609.04,-738.75,-5510.74,-609.04,9.88
