attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,3.48,0.90,3.65,-0.13,3.65,5.05
0.50,0.08,-0.64,2.09,-134.18,2.09,2610.64
1.00,-6.05,-2.16,-0.92,-481.87,-0.92,84.84
1.50,-11.76,-3.64,-2.96,-787.16,-2.96,74.83
2.00,-15.56,-5.18,-4.32,-1040.80,-4.32,72.23
2.50,-20.03,-5.62,-5.57,-1278.17,-5.57,72.20
3.00,-22.44,-5.93,-7.29,-1400.78,-5.93,73.58
