attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-57.65,-59.61,-65.69,-110.11,-59.61,-3.41
0.50,-68.05,-62.09,-63.89,-99.57,-62.09,8.77
1.00,-95.22,-61.26,-66.16,-109.82,-61.26,35.67
1.50,-114.71,-60.29,-63.77,-109.73,-60.29,47.44
2.00,-136.03,-64.52,-65.61,-103.29,-64.52,52.57
2.50,-153.04,-56.44,-64.19,-118.95,-56.44,63.12
3.00,-160.78,-64.99,-61.43,-99.59,-61.43,61.79
