attack_sigma,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-423.67,-445.51,-412.76,-695.06,-412.76,2.58
0.50,-475.54,-485.33,-491.85,-1483.55,-485.33,-2.06
1.00,-546.52,-533.78,-580.91,-2864.32,-533.78,2.33
1.50,-595.73,-556.92,-648.21,-3839.27,-556.92,6.52
2.00,-627.59,-574.61,-677.27,-4354.48,-574.61,8.44
2.50,-647.55,-596.26,-700.39,-4912.57,-596.26,7.92
3.00,-675.25,-608.45,-715.99,-5377.21,-608.45,9.89
