sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-32.29,0.62,-60.64,4.90,-63.03,8.55,-60.64,-87.80
0.10,-40.02,1.13,-61.97,4.80,-66.62,8.17,-61.97,-54.86
0.25,-64.58,1.36,-60.44,4.94,-64.97,9.93,-60.44,6.41
0.50,-138.53,0.95,-62.38,5.82,-62.60,10.07,-62.38,54.97
0.75,-244.28,1.12,-59.44,6.28,-63.22,10.09,-59.44,75.67
1.00,-379.95,1.10,-60.92,6.16,-62.94,10.38,-60.92,83.97
