sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,4.33,1.87,0.68,7.07,4.28,11.02,4.28,-1.26
0.10,2.90,1.80,2.00,6.93,3.62,11.37,3.62,24.99
0.25,0.41,1.32,0.87,7.14,3.19,11.40,3.19,675.87
0.50,-12.40,1.64,0.16,7.11,-1.06,11.97,0.16,101.28
0.75,-34.93,1.32,-1.14,7.01,-8.61,11.63,-1.14,96.74
1.00,-66.48,1.52,-3.13,7.08,-19.31,11.16,-3.13,95.28
