sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,48.56,1.09,36.83,4.13,40.00,7.03,40.00,-17.64
0.10,39.08,1.07,34.43,4.14,28.50,6.93,34.43,-11.89
0.25,25.27,1.08,21.91,4.14,16.38,6.94,21.91,-13.28
0.50,2.81,1.09,7.23,4.09,-7.43,6.95,7.23,157.33
0.75,-20.09,1.09,-10.02,4.14,-33.62,7.01,-10.02,50.10
1.00,-46.79,1.10,-29.66,4.11,-62.40,7.03,-29.66,36.62
