sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,3.70,1.98,-0.30,7.45,3.45,10.45,3.45,-6.73
0.10,2.11,3.06,0.96,8.19,2.53,11.17,2.53,20.09
0.25,-0.19,1.33,-0.22,7.06,2.31,11.50,2.31,1318.63
0.50,-12.31,1.33,-0.57,7.09,-1.40,11.36,-0.57,95.37
0.75,-34.75,1.66,-1.81,6.78,-8.41,11.25,-1.81,94.79
1.00,-69.06,1.70,-3.18,6.75,-19.33,11.21,-3.18,95.40
