sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.59,1.41,-10.50,6.05,-13.03,9.89,-10.50,-22.17
0.10,-10.86,1.28,-10.79,6.50,-13.51,9.34,-10.79,0.63
0.25,-15.04,0.65,-11.46,5.74,-13.64,8.76,-11.46,23.81
0.50,-21.40,0.60,-12.28,5.09,-13.33,8.37,-12.28,42.65
0.75,-30.66,1.40,-13.30,5.17,-14.21,8.78,-13.30,56.61
1.00,-40.67,0.64,-14.10,5.58,-14.60,8.99,-14.10,65.34
