sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-412.91,2.25,-439.41,7.34,-421.29,11.29,-421.29,-2.03
0.10,-440.78,2.61,-460.51,7.21,-453.33,11.55,-453.33,-2.85
0.25,-475.57,2.23,-490.32,3.80,-505.74,6.44,-490.32,-3.10
0.50,-572.21,0.84,-550.59,3.80,-616.42,6.43,-550.59,3.78
0.75,-731.98,0.85,-628.61,3.80,-795.25,6.43,-628.61,14.12
1.00,-1064.37,0.85,-759.91,3.77,-1119.19,6.41,-759.91,28.61
