noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,3.26,0.37,3.80,0.40,3.98,3.43,3.82,6.03,3.98,4.54
0.00,1.00,3.26,0.37,-4.26,0.39,3.19,3.43,-2.68,6.03,3.19,174.80
0.00,2.00,3.26,0.37,-15.89,0.40,2.07,3.45,-9.15,6.06,2.07,113.03
0.00,3.00,3.26,0.37,-24.19,0.39,1.75,3.43,-10.06,6.05,1.75,107.25
