action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.93,-8.66,-10.69,-13.20,-40.44,-10.69,-23.42
0.40,-8.93,-10.79,-11.35,-13.01,-1285349304.63,-11.35,-5.20
0.80,-8.93,-15.09,-11.65,-13.72,-258879.79,-11.65,22.76
1.20,-8.93,-19.75,-12.48,-13.96,-2607647926.57,-12.48,36.82
1.60,-8.93,-22.01,-12.74,-13.63,-18173725.81,-12.74,42.12
2.00,-8.93,-24.62,-13.36,-14.11,-1537562115.19,-13.36,45.76
2.40,-8.93,-26.15,-13.65,-13.86,-973778421.15,-13.65,47.81
2.80,-8.93,-28.48,-13.47,-14.20,-34547748782.33,-13.47,52.69
3.00,-8.93,-29.32,-13.77,-14.23,-62908814.71,-13.77,53.03
