action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.80,-8.71,-10.87,-13.26,-12.87,-10.87,-24.90
0.40,-8.80,-10.08,-11.16,-13.26,-85587247.58,-11.16,-10.73
0.80,-8.80,-15.14,-12.25,-13.67,-381572845.59,-12.25,19.06
1.20,-8.80,-19.18,-12.93,-14.15,-581682289.70,-12.93,32.58
1.60,-8.80,-22.76,-12.96,-13.63,-28277261.63,-12.96,43.04
2.00,-8.80,-24.57,-13.24,-14.28,-275.46,-13.24,46.12
2.40,-8.80,-26.27,-13.55,-14.11,-2602476.40,-13.55,48.43
2.80,-8.80,-27.85,-13.53,-14.26,-10653844.76,-13.53,51.42
3.00,-8.80,-27.86,-13.75,-14.38,-31004281.00,-13.75,50.65
