action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-433.07,-437.38,-449.68,-426.75,-736.05,-426.75,2.43
0.40,-433.07,-454.22,-464.39,-461.32,-1004.49,-461.32,-1.56
0.80,-433.07,-511.91,-502.20,-546.08,-1902.46,-502.20,1.90
1.20,-433.07,-566.76,-535.94,-610.82,-2869.53,-535.94,5.44
1.60,-433.07,-609.63,-556.97,-657.65,-3754.14,-556.97,8.64
2.00,-433.07,-627.69,-582.03,-701.06,-4327.81,-582.03,7.27
2.40,-433.07,-666.13,-593.76,-721.48,-4908.05,-593.76,10.86
2.80,-433.07,-677.12,-610.41,-745.63,-5297.88,-610.41,9.85
3.00,-433.07,-682.65,-606.92,-754.31,-5437.70,-606.92,11.09
