noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,53.52,54.31,40.21,42.91,55.31,55.31,1.83
0.00,0.40,53.52,31.90,23.01,28.65,49.06,49.06,53.77
0.00,0.80,53.52,18.83,13.26,19.62,29.48,29.48,56.55
0.00,1.20,53.52,10.03,8.22,13.82,20.59,20.59,105.30
0.00,1.60,53.52,8.15,5.12,6.97,16.70,16.70,104.86
0.00,2.00,53.52,0.53,1.76,4.91,11.10,11.10,1983.35
0.00,2.40,53.52,-1.18,0.02,2.74,10.68,10.68,1008.48
0.00,2.80,53.52,-1.66,-1.16,2.09,5.32,5.32,420.67
0.00,3.00,53.52,-2.64,-1.61,0.42,6.83,6.83,359.14
