noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-59.44,0.25,-57.91,0.27,-64.52,3.30,-65.42,5.96,-64.52,-11.42
0.00,1.00,-59.44,0.25,-82.05,0.28,-65.43,3.58,-71.92,6.32,-65.43,20.26
0.00,2.00,-59.44,0.25,-128.33,0.28,-67.14,3.55,-77.28,6.27,-67.14,47.69
0.00,3.00,-59.44,0.25,-163.68,0.28,-68.79,3.57,-80.10,6.30,-68.79,57.97
