noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-30.35,0.26,-29.44,0.27,-65.82,3.29,-66.64,5.93,-65.82,-123.59
0.00,1.00,-30.35,0.26,-83.34,0.28,-65.15,3.60,-71.38,6.40,-65.15,21.83
0.00,2.00,-30.35,0.26,-142.54,0.28,-66.24,3.51,-78.57,6.31,-66.24,53.53
0.00,3.00,-30.35,0.26,-173.87,0.28,-66.56,3.59,-83.95,6.33,-66.56,61.72
