delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,2.31,1.48,3.69,3.69,60.09
2,-0.08,1.17,1.86,1.86,2539.39
3,-2.63,1.07,-0.16,1.07,140.78
5,-7.49,0.28,-2.75,0.28,103.73
8,-19.79,-0.61,-8.03,-0.61,96.93
