noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,best_reward_with_diffusion,pct_inc_vs_no_diffusion,reward_diffusion_policy
0.00,0.00,-430.88,-436.71,-455.34,-455.34,-4.27,-628.39
0.00,1.00,-430.88,-540.24,-519.65,-519.65,3.81,-629.41
0.00,2.00,-430.88,-636.50,-582.65,-582.65,8.46,-624.35
0.00,2.50,-430.88,-658.64,-596.71,-596.71,9.40,-621.19
0.00,3.00,-430.88,-683.68,-612.35,-612.35,10.43,-625.41
