noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,-450.97,0.77,-452.57,0.83,-463.82,3.79,-440.60,6.17,-440.60,2.65
1.00,1.00,-450.97,0.77,-547.04,0.83,-539.60,3.91,-566.38,6.17,-539.60,1.36
1.00,2.00,-450.97,0.77,-637.31,0.83,-592.87,3.85,-634.48,6.17,-592.87,6.97
1.00,3.00,-450.97,0.77,-683.53,0.83,-628.64,3.92,-688.61,6.17,-628.64,8.03
