scenario,algo,noise_mu,action_noise_std,best_reward_with_diffusion,reward_noise_no_diffusion
simple_push,ERNIE,-1,2.0,-13.23±0.25,-24.21±0.26
simple_push,ERNIE,-1,3.0,-13.63±0.40,-27.68±0.28
simple_push,M3DDPG,-1,0.0,-10.65±0.42,-8.46±0.19
simple_push,M3DDPG,-1,1.0,-12.06±0.23,-16.99±0.40
simple_push,M3DDPG,-1,2.0,-13.02±0.28,-24.09±0.54
simple_push,M3DDPG,-1,3.0,-13.52±0.16,-27.55±0.99
simple_push,MADDPG,-1,0.0,-10.64±0.12,-8.81±0.19
simple_push,MADDPG,-1,1.0,-11.94±0.10,-16.83±0.80
simple_push,MADDPG,-1,2.0,-13.20±0.16,-24.27±1.12
simple_push,MADDPG,-1,3.0,-13.70±0.11,-28.06±0.53
simple_push,RMAAC,-1,0.0,-10.79±0.10,-9.08±0.28
simple_push,RMAAC,-1,1.0,-12.23±0.24,-16.98±0.52
simple_push,RMAAC,-1,2.0,-13.07±0.47,-24.44±0.55
simple_push,RMAAC,-1,3.0,-13.44±0.37,-27.74±0.98
simple_push,ERNIE,0,0.0,-10.58±0.25,-8.60±0.14
simple_push,ERNIE,0,0.4,-11.22±0.30,-10.53±0.24
simple_push,ERNIE,0,0.8,-12.00±0.02,-15.12±0.13
simple_push,ERNIE,0,1.0,-11.96±0.00,-17.21±0.05
simple_push,ERNIE,0,1.2,-12.46±0.33,-19.17±0.20
simple_push,ERNIE,0,1.6,-12.82±0.01,-22.37±0.37
simple_push,ERNIE,0,2.0,-13.23±0.29,-24.84±0.67
simple_push,ERNIE,0,2.4,-13.39±0.16,-26.49±0.23
simple_push,ERNIE,0,2.8,-13.34±0.33,-26.96±0.08
simple_push,ERNIE,0,3.0,-13.54±0.18,-27.69±0.59
simple_push,M3DDPG,0,0.0,-10.67±0.17,-8.50±0.17
simple_push,M3DDPG,0,0.4,-11.23±0.11,-10.16±0.11
simple_push,M3DDPG,0,0.8,-11.88±0.52,-15.04±0.14
simple_push,M3DDPG,0,1.0,-12.22±0.18,-17.35±0.48
simple_push,M3DDPG,0,1.2,-12.48±0.64,-19.16±0.03
simple_push,M3DDPG,0,1.6,-12.79±0.24,-22.48±0.40
simple_push,M3DDPG,0,2.0,-13.13±0.21,-24.61±0.33
simple_push,M3DDPG,0,2.4,-13.26±0.41,-25.66±0.87
simple_push,M3DDPG,0,2.8,-13.55±0.03,-27.75±0.14
simple_push,M3DDPG,0,3.0,-13.52±0.20,-27.73±0.19
simple_push,MADDPG,0,0.0,-10.71±0.19,-8.85±0.12
simple_push,MADDPG,0,0.4,-11.04±0.15,-10.70±0.16
simple_push,MADDPG,0,0.8,-11.90±0.25,-15.28±0.19
simple_push,MADDPG,0,1.0,-12.03±0.19,-17.08±0.13
simple_push,MADDPG,0,1.2,-12.25±0.52,-19.20±0.43
simple_push,MADDPG,0,1.6,-12.55±0.22,-22.09±0.39
simple_push,MADDPG,0,2.0,-13.24±0.21,-24.39±0.06
simple_push,MADDPG,0,2.4,-13.42±0.17,-26.26±0.11
simple_push,MADDPG,0,2.8,-13.40±0.11,-27.12±0.33
simple_push,MADDPG,0,3.0,-13.46±0.19,-27.98±0.34
simple_push,RMAAC,0,0.0,-10.66±0.03,-8.74±0.11
simple_push,RMAAC,0,0.4,-11.22±0.18,-10.77±0.03
simple_push,RMAAC,0,0.8,-11.57±0.11,-15.21±0.16
simple_push,RMAAC,0,1.0,-12.23±0.37,-17.55±0.26
simple_push,RMAAC,0,1.2,-12.35±0.19,-19.72±0.04
simple_push,RMAAC,0,1.6,-12.66±0.11,-22.40±0.55
simple_push,RMAAC,0,2.0,-13.09±0.29,-24.20±0.39
simple_push,RMAAC,0,2.4,-13.54±0.16,-26.23±0.12
simple_push,RMAAC,0,2.8,-13.29±0.25,-27.66±1.15
simple_push,RMAAC,0,3.0,-13.54±0.35,-28.23±0.78
simple_push,ERNIE,1,0.0,-11.52±1.85,-13.23±9.47
simple_push,ERNIE,1,1.0,-12.14±0.38,-18.07±1.74
simple_push,ERNIE,1,2.0,-13.14±0.36,-24.49±0.80
simple_push,ERNIE,1,3.0,-13.57±0.14,-27.65±0.58
simple_push,M3DDPG,1,0.0,-11.38±1.86,-12.77±8.75
simple_push,M3DDPG,1,1.0,-12.26±0.60,-18.11±1.87
simple_push,M3DDPG,1,2.0,-13.35±0.30,-24.29±0.55
simple_push,M3DDPG,1,3.0,-13.71±0.28,-28.05±0.59
simple_push,MADDPG,1,0.0,-11.40±1.60,-13.53±9.58
simple_push,MADDPG,1,1.0,-12.24±0.64,-18.30±1.95
simple_push,MADDPG,1,2.0,-13.09±0.09,-24.51±0.54
simple_push,MADDPG,1,3.0,-13.60±0.40,-27.43±0.57
simple_push,RMAAC,1,0.0,-11.31±1.75,-13.33±8.87
simple_push,RMAAC,1,1.0,-12.56±0.72,-18.10±1.67
simple_push,RMAAC,1,2.0,-13.43±0.38,-24.43±0.70
simple_push,RMAAC,1,3.0,-13.59±0.43,-27.69±0.67
simple_speaker_listener,ERNIE,-1,0.0,-58.98±1.24,-44.72±15.67
simple_speaker_listener,ERNIE,-1,1.0,-60.16±1.98,-81.12±1.22
simple_speaker_listener,ERNIE,-1,2.0,-59.66±1.53,-134.47±9.54
simple_speaker_listener,ERNIE,-1,3.0,-58.48±2.11,-172.30±15.45
simple_speaker_listener,M3DDPG,-1,0.0,-56.29±0.99,-44.59±28.14
simple_speaker_listener,M3DDPG,-1,1.0,-57.77±1.61,-85.43±9.90
simple_speaker_listener,M3DDPG,-1,2.0,-59.57±0.66,-144.35±5.23
simple_speaker_listener,M3DDPG,-1,3.0,-59.41±1.01,-171.52±2.55
simple_speaker_listener,MADDPG,-1,0.0,-59.24±1.09,-41.42±21.35
simple_speaker_listener,MADDPG,-1,1.0,-61.02±1.37,-87.91±3.68
simple_speaker_listener,MADDPG,-1,2.0,-61.02±2.24,-146.22±10.64
simple_speaker_listener,MADDPG,-1,3.0,-61.79±2.22,-184.67±7.04
simple_speaker_listener,RMAAC,-1,0.0,-58.59±3.32,-47.88±16.76
simple_speaker_listener,RMAAC,-1,1.0,-57.98±2.32,-80.06±2.99
simple_speaker_listener,RMAAC,-1,2.0,-61.32±0.78,-132.59±8.12
simple_speaker_listener,RMAAC,-1,3.0,-61.00±1.17,-163.21±8.20
simple_speaker_listener,ERNIE,0,0.0,-57.16±0.96,-44.69±15.58
simple_speaker_listener,ERNIE,0,0.4,-59.45±0.66,-53.19±15.97
simple_speaker_listener,ERNIE,0,0.8,-58.30±1.85,-70.32±8.81
simple_speaker_listener,ERNIE,0,1.0,-59.16±1.08,-80.66±0.55
simple_speaker_listener,ERNIE,0,1.2,-58.62±1.73,-93.56±4.23
simple_speaker_listener,ERNIE,0,1.6,-59.79±0.07,-116.00±9.55
simple_speaker_listener,ERNIE,0,2.0,-59.51±2.11,-139.11±5.24
simple_speaker_listener,ERNIE,0,2.4,-59.24±0.11,-146.89±7.54
simple_speaker_listener,ERNIE,0,2.8,-61.69±1.99,-162.93±5.78
simple_speaker_listener,ERNIE,0,3.0,-60.97±2.10,-163.51±9.47
simple_speaker_listener,M3DDPG,0,0.0,-56.04±1.48,-31.85±1.49
simple_speaker_listener,M3DDPG,0,0.4,-57.84±3.51,-42.41±2.86
simple_speaker_listener,M3DDPG,0,0.8,-59.70±0.44,-65.64±5.24
simple_speaker_listener,M3DDPG,0,1.0,-59.07±1.09,-83.50±3.30
simple_speaker_listener,M3DDPG,0,1.2,-58.83±0.21,-98.66±4.87
simple_speaker_listener,M3DDPG,0,1.6,-59.50±1.32,-118.36±0.10
simple_speaker_listener,M3DDPG,0,2.0,-58.84±1.44,-142.12±4.68
simple_speaker_listener,M3DDPG,0,2.4,-60.14±0.22,-154.11±2.91
simple_speaker_listener,M3DDPG,0,2.8,-58.03±1.24,-169.21±6.34
simple_speaker_listener,M3DDPG,0,3.0,-60.77±2.72,-178.84±4.63
simple_speaker_listener,MADDPG,0,0.0,-60.18±0.81,-30.00±1.31
simple_speaker_listener,MADDPG,0,0.4,-59.53±1.92,-42.80±1.07
simple_speaker_listener,MADDPG,0,0.8,-61.14±0.47,-72.06±3.57
simple_speaker_listener,MADDPG,0,1.0,-59.47±0.18,-85.56±6.19
simple_speaker_listener,MADDPG,0,1.2,-60.12±1.40,-103.79±6.76
simple_speaker_listener,MADDPG,0,1.6,-61.39±1.46,-125.78±2.81
simple_speaker_listener,MADDPG,0,2.0,-60.21±1.24,-147.05±7.54
simple_speaker_listener,MADDPG,0,2.4,-60.58±2.13,-159.67±11.86
simple_speaker_listener,MADDPG,0,2.8,-62.06±0.70,-173.25±0.13
simple_speaker_listener,MADDPG,0,3.0,-59.42±2.78,-180.45±4.76
simple_speaker_listener,RMAAC,0,0.0,-58.12±2.03,-45.95±13.44
simple_speaker_listener,RMAAC,0,0.4,-58.41±2.06,-52.14±13.02
simple_speaker_listener,RMAAC,0,0.8,-58.09±1.24,-69.97±1.49
simple_speaker_listener,RMAAC,0,1.0,-58.98±1.85,-79.75±1.18
simple_speaker_listener,RMAAC,0,1.2,-60.60±2.35,-95.06±2.14
simple_speaker_listener,RMAAC,0,1.6,-59.30±3.05,-113.78±1.09
simple_speaker_listener,RMAAC,0,2.0,-60.43±1.93,-133.35±4.70
simple_speaker_listener,RMAAC,0,2.4,-59.83±0.77,-149.12±4.70
simple_speaker_listener,RMAAC,0,2.8,-60.44±0.08,-162.50±8.02
simple_speaker_listener,RMAAC,0,3.0,-60.52±1.98,-169.79±6.28
simple_speaker_listener,ERNIE,1,0.0,-59.41±2.01,-62.93±46.14
simple_speaker_listener,ERNIE,1,1.0,-60.08±0.65,-83.92±6.70
simple_speaker_listener,ERNIE,1,2.0,-61.88±4.09,-138.40±5.75
simple_speaker_listener,ERNIE,1,3.0,-61.19±1.42,-172.00±13.88
simple_speaker_listener,M3DDPG,1,0.0,-54.98±1.37,-57.97±51.47
simple_speaker_listener,M3DDPG,1,1.0,-56.83±0.77,-88.51±13.11
simple_speaker_listener,M3DDPG,1,2.0,-59.94±1.86,-144.68±7.35
simple_speaker_listener,M3DDPG,1,3.0,-61.06±1.93,-173.94±12.21
simple_speaker_listener,MADDPG,1,0.0,-60.65±2.48,-60.01±55.06
simple_speaker_listener,MADDPG,1,1.0,-59.95±1.48,-89.95±5.52
simple_speaker_listener,MADDPG,1,2.0,-59.02±1.62,-147.94±9.32
