scenario,algo,delay_k,best_reward_with_diffusion,reward_noisy
simple_tag,ERNIE,8,-2.41±1.54,-4.66±1.38
simple_tag,M3DDPG,1,33.07±2.42,38.50±1.71
simple_tag,M3DDPG,2,25.88±0.92,28.20±0.38
simple_tag,M3DDPG,3,18.66±0.56,21.41±0.76
simple_tag,M3DDPG,5,10.65±0.43,11.44±0.59
simple_tag,M3DDPG,8,1.51±0.29,-2.26±0.50
simple_tag,MADDPG,1,26.21±1.89,29.73±1.40
simple_tag,MADDPG,2,21.20±1.12,19.98±0.85
simple_tag,MADDPG,3,17.14±0.60,13.51±1.26
simple_tag,MADDPG,5,11.62±0.26,6.19±0.59
simple_tag,MADDPG,8,4.69±2.27,-2.60±1.48
simple_tag,RMAAC,1,40.30±4.84,48.36±1.17
simple_tag,RMAAC,2,30.94±1.70,31.25±1.91
simple_tag,RMAAC,3,24.90±0.89,23.65±0.45
simple_tag,RMAAC,5,19.61±0.23,18.25±0.64
simple_tag,RMAAC,8,14.17±1.26,12.32±1.68
