attack,perturbation_level,algorithm,seed,survival_baseline,survival_with_denoiser
noise_mu0,1.0,ERNIE,48,17.9,19.29
noise_mu0,2.0,ERNIE,48,19.43,20.13
noise_mu0,3.0,ERNIE,48,19.55,20.11
noise_mu+1,0.0,ERNIE,48,13.65,17.52
noise_mu+1,1.0,ERNIE,48,17.89,19.44
noise_mu+1,2.0,ERNIE,48,19.61,20.22
noise_mu+1,3.0,ERNIE,48,19.55,20.22
noise_mu-1,0.0,M3DDPG,48,14.52,17.78
noise_mu-1,1.0,M3DDPG,48,18.0,19.52
noise_mu-1,2.0,M3DDPG,48,19.27,20.0
noise_mu-1,3.0,M3DDPG,48,19.7,19.99
noise_mu0,0.0,M3DDPG,48,14.86,17.73
noise_mu0,1.0,M3DDPG,48,17.83,19.51
noise_mu0,2.0,M3DDPG,48,19.22,19.98
noise_mu0,3.0,M3DDPG,48,19.79,19.94
noise_mu+1,0.0,M3DDPG,48,14.62,17.71
noise_mu+1,1.0,M3DDPG,48,17.94,19.3
noise_mu+1,2.0,M3DDPG,48,19.2,20.01
noise_mu+1,3.0,M3DDPG,48,19.72,20.06
noise_mu-1,0.0,MADDPG,48,15.77,17.69
noise_mu-1,1.0,MADDPG,48,18.75,20.27
noise_mu-1,2.0,MADDPG,48,19.41,20.23
noise_mu-1,3.0,MADDPG,48,19.92,19.89
noise_mu0,0.0,MADDPG,48,15.94,17.89
noise_mu0,1.0,MADDPG,48,18.65,20.11
noise_mu0,2.0,MADDPG,48,19.15,20.24
noise_mu0,3.0,MADDPG,48,19.99,20.2
noise_mu+1,0.0,MADDPG,48,15.79,17.75
noise_mu+1,1.0,MADDPG,48,18.56,20.08
noise_mu+1,2.0,MADDPG,48,19.31,20.09
noise_mu+1,3.0,MADDPG,48,19.89,20.16
noise_mu-1,0.0,RMAAC,48,13.81,16.93
noise_mu-1,1.0,RMAAC,48,17.14,19.0
noise_mu-1,2.0,RMAAC,48,18.78,19.79
noise_mu-1,3.0,RMAAC,48,19.2,19.76
noise_mu0,0.0,RMAAC,48,13.86,16.82
noise_mu0,1.0,RMAAC,48,17.14,19.02
noise_mu0,2.0,RMAAC,48,18.86,19.5
noise_mu0,3.0,RMAAC,48,19.18,20.04
noise_mu+1,0.0,RMAAC,48,13.74,16.85
noise_mu+1,1.0,RMAAC,48,16.97,19.04
noise_mu+1,2.0,RMAAC,48,18.72,19.65
noise_mu+1,3.0,RMAAC,48,19.2,19.92
noise_mu-1,0.0,ERNIE,49,13.74,17.52
noise_mu-1,1.0,ERNIE,49,17.79,19.08
noise_mu-1,2.0,ERNIE,49,19.73,20.33
noise_mu-1,3.0,ERNIE,49,20.02,20.62
noise_mu0,0.0,ERNIE,49,14.05,17.63
noise_mu0,1.0,ERNIE,49,17.84,19.02
noise_mu0,2.0,ERNIE,49,19.55,20.28
noise_mu0,3.0,ERNIE,49,19.93,20.62
noise_mu+1,0.0,ERNIE,49,13.8,17.63
noise_mu+1,1.0,ERNIE,49,17.82,19.14
noise_mu+1,2.0,ERNIE,49,19.73,20.12
noise_mu+1,3.0,ERNIE,49,19.87,20.65
noise_mu-1,0.0,M3DDPG,49,14.11,17.59
noise_mu-1,1.0,M3DDPG,49,17.43,18.9
noise_mu-1,2.0,M3DDPG,49,19.52,19.85
noise_mu-1,3.0,M3DDPG,49,19.8,20.56
noise_mu0,0.0,M3DDPG,49,14.33,17.8
noise_mu0,1.0,M3DDPG,49,17.57,19.13
noise_mu0,2.0,M3DDPG,49,19.33,19.89
noise_mu0,3.0,M3DDPG,49,19.87,20.48
noise_mu+1,0.0,M3DDPG,49,14.21,17.77
noise_mu+1,1.0,M3DDPG,49,17.55,18.95
noise_mu+1,2.0,M3DDPG,49,19.38,19.91
noise_mu+1,3.0,M3DDPG,49,20.0,20.38
noise_mu-1,0.0,MADDPG,49,16.22,17.46
noise_mu-1,1.0,MADDPG,49,18.47,19.48
noise_mu-1,2.0,MADDPG,49,19.8,19.85
noise_mu-1,3.0,MADDPG,49,20.18,20.63
noise_mu0,0.0,MADDPG,49,16.24,17.42
noise_mu0,1.0,MADDPG,49,18.2,19.27
noise_mu0,2.0,MADDPG,49,19.9,19.98
noise_mu0,3.0,MADDPG,49,20.14,20.7
noise_mu+1,0.0,MADDPG,49,15.96,17.64
noise_mu+1,1.0,MADDPG,49,18.34,19.44
noise_mu+1,2.0,MADDPG,49,19.75,19.77
noise_mu+1,3.0,MADDPG,49,20.27,20.53
noise_mu-1,0.0,RMAAC,49,14.13,17.14
noise_mu-1,1.0,RMAAC,49,17.32,18.49
noise_mu-1,2.0,RMAAC,49,18.99,19.43
noise_mu-1,3.0,RMAAC,49,19.81,20.67
noise_mu0,0.0,RMAAC,49,14.39,17.0
noise_mu0,1.0,RMAAC,49,17.27,18.53
noise_mu0,2.0,RMAAC,49,19.26,19.41
noise_mu0,3.0,RMAAC,49,19.87,20.5
noise_mu+1,0.0,RMAAC,49,14.18,17.32
noise_mu+1,1.0,RMAAC,49,17.43,18.3
noise_mu+1,2.0,RMAAC,49,19.14,19.62
noise_mu+1,3.0,RMAAC,49,19.89,20.54
